Producto,Descripción,Precio ,Foto menú (link),,Calidad de la foto
Arma tu milanesa,"Milanesa de ternera crujiente y dorada, servida al plato,
con elección de 3 toppings a gusto entre una selección de ingredientes
frescos y sabrosos. Acompañamiento: Papas fritas. Toppings disponibles:
Huevo a la plancha
Cheddar fundido
Panceta crocante
Verdeo fresco
Cebolla caramelizada
Champiñones salteados
Jamón cocido
Queso gratinado
Pimientos asados
Tomate en rodajas o confitado
Guacamole casero
Salsa criolla.", $  19.000 ,IMG_6152.jpg,,Zafable
Ensalada Cesar,"Clásica ensalada Cesar con Nuggets de pollo crocantes, Mix de hojas
verdes, crotones dorados y queso. Aderezo: lactonesa de la casa.", $  13.500 ,Ensalada Crispy (5).jpg,,Muy buena
Pastas Hub,,,,,
Canelones de verdura y carne,"Canelones un clásico con un sabroso relleno de espinaca, vegetales,
ricota cremosa y carne. Cubiertos con una suave salsa blanca y
coronados con nuestra clásica salsa fileto casera, gratinados con
queso reggianito para lograr un dorado irresistible. Opcional: salsa
bolognesa.", $  16.000 ,Canelones.jpg,,Muy buena
Canelones de verdura con salsa mixta,"Delicadas láminas de masa casera arrolladas con un sabroso relleno
de espinaca fresca, ricotta cremosa, cebolla y puerro salteados.
Cubiertos con una suave salsa blanca y coronados con nuestra
clásica salsa fileto casera, gratinados con queso.", $  16.000 ,Canelones.jpg,,Muy buena
Tallarines al huevo,"Pasta fresca. Acompañada por nuestra clásica salsa bolognesa,
cocinada a fuego lento con tomates frescos y vegetales. También
disponible con salsa mixta", $  14.000 ,Tallarines,Tallarines.jpg,Mala
Sorrentinos de vacío braseado,"Sorrentinos artesanales con un sabroso relleno de vacío braseado
lentamente con vegetales y hierbas frescas. Coronados con salsa
mixta o fileto.", $  17.500 ,Sorrentinos,_DSC9643-2.jpg,Zafable
Sorrentinos de jamon y queso,"Sorrentinos artesanales rellenos de jamón y queso. Se pueden acompañar
con salsa blanca, mixta o boloñesa.", $  16.000 ,,,No hay foto
Sorrentinos de hongos,"Sorrentinos artesanales rellenos de hongos de estación y vegetales
salteados, con notas suaves Se pueden acompañar con salsa blanca,
mixta o boloñesa.", $  16.000 ,,,No hay foto
Ñoquis de papa,"Los clásicos de papa con salsa blanca, mixta o boloñesa.", $  15.000 ,Ñoquis,,Zafable
"Papas, rabas, nuggets y nachos",,,,,
Clasicas,Papas fritas comunes., $  11.000 ,,,No hay foto
"Cheddar, Bacon y Verdeo","Papas doradas con crema de cheddar, bacon crocante y verdeo. Salsa acompañante: Ranch casero.", $  14.500 ,Papas Cheddar Bacon y Verdeo (5).jpg,,Muy buena
Champiñones y Cebolla Caramelizada,"Papas con champiñones salteadosen manteca y cebolla caramelizada. Salsa acompañante: Lactonesa de ajo
asado.", $  16.500 ,Papas Champiñones y Cebolla Caramelizada (5).jpg,,Muy buena
Guacamole y Ají en Conserva,Papas crujientes con guacamole casero y rodajas de ají en conserva. Salsa acompañante: Aderezo cítrico., $  13.500 ,Papas guacamole y aji en conserva.png,,Muy buena
Huevo Revuelto y Jamón Serrano:,"Papas con huevo revuelto, lonjas de jamón serrano y verdeo Salsa acompañante: Lactonesa clásica.", $  13.500 ,Papas huevo frito y jamón serrano.png,,Muy buena
Papas HUB,Papas con vacío desmenuzado bien tierno y salsa Ranch, $  16.500 ,papas hub.jpg,,Zafable
Rabas Hub,"12 unidades de Aros de calamar rebozados y fritos. Acompañados de una cremosa lactonesa cítrica con un sutil toque de
salsa inglesa.", $  19.000 ,rabas.jpg,,
Nuggets de Pollo,"los clásicos para disfrutar y picar, acompañados de lactonesa y barbacoa.", $  12.500 ,,,No hay foto
"Nachos con chedar, panceta y verdeo","Nachos ahumados cubiertos con cheddar fundido, panceta dorada y verdeo fresco.", $  10.500 ,Nachos.jpg,,Muy buena
Nachos con carne y chedar,"Porción generosa de nachos crocantes con carne de ternera desmenuzada, cocida a fuego lento, bañados en cheddar fundido.", $  12.000 ,Nachos.jpg,,Muy buena
Pizza,,,,,
Muzzarella,"Pizza con salsa de tomate, mozzarella
derretida y olivas negras. Simple, pero irresistible.", $  20.000 ,Pizza Muzza.png,Muzarella (3).jpg,VER x FOTOS VIEJAS Y NUEVAS
1/2 Muzarella,, $  11.000 ,,,
Especial,"Pizza con salsa de tomate, mozzarella, jamón
cocido, morrón, huevo y un toque de tradición.", $  22.000 ,Pizza Especial (7).jpg,picca especial .jpg,VER x FOTOS VIEJAS Y NUEVAS
1/2 Especial,, $  13.000 ,,,
Prosciuto e funghi,"Pizza con salsa de tomate, mozzarella
fresca, jamón crudo, champiñones y rúcula. Una
combinación clásica y deliciosa.", $  25.500 ,Pizza Prosciutto e funghi.png,Prosciuotto y fungi (4).jpg,VER x FOTOS VIEJAS Y NUEVAS
1/2 Prosciuto e fungi,, $  14.000 ,,,
Quattro formagi,"Pizza con una mezcla de mozzarella,
queso azul, reggianito estacionado y fontina, albahaca fresca
y un toque de aceite de oliva virgen extra. Perfecta para los
amantes del queso.", $  23.000 ,Pizza Quattro Formaggi (10).jpg,Pizza Quattro Formaggi (10).jpg,VER x FOTOS VIEJAS Y NUEVAS
1/2 Quatro formaggi,, $  13.000 ,,,
Jamon y queso,"Pizza con salsa de tomate, mozzarella
derretida, Jamón y olivas negras. Simple, pero irresistible.", $  21.000 ,,,No hay foto
1/2 jamon y queso,, $  12.000 ,,,
Vegetariana mediterranea,"Pizza con salsa de tomate,
mozzarella, pimientos asados, berenjenas, zucchinis,
aceitunas negras, orégano fresco y aceite de oliva
virgen extra. Pura frescura y sabor.", $  20.000 ,Pizza Vegetariana Mediterránea (15).jpg,,VER x FOTOS VIEJAS Y NUEVAS
1/2 Vegetariana mediterranea,, $  10.500 ,,,
Pizza explosiva,"Pizza con muzzarella, papas fritas,
cheddar, salchicha alemana, bacon crujiente y huevo
frito. Una explosión de sabores para los más atrevidos.", $  28.000 ,Pizza Explosiva (11).jpg,Pizza Explosiva (1).jpg,VER x FOTOS VIEJAS Y NUEVAS
1/2 Pizza explosiva,, $  14.500 ,,,
Pizza hub,"Pizza con muzzarella, papas fritas, Salsa ranch,
vacío desmenuzado, Bacon crujiente y huevo frito.", $  28.000 ,,,No hay foto
1/2 pizza hub,, $  14.500 ,,,
Pizza sin tacc,Pizza individual libre de gluten., $  12.000 ,,,No hay foto
Lomitos y tostados,,,,,
Lomo Completo Premium,"Carne de lomo, jamón crudo, queso feta, huevo a la plancha, lechuga, tomate y lactonesa tradicional de la casa.", $  19.500 ,Lomo Clásico Premium (4).jpg,,Muy buena
Lomo del Chef,"Carne de lomo, jamón, queso, lechuga, tomate, huevo a la plancha, morrones asados y mayonesa especiada con pimienta negra", $  21.000 ,Lomo del Chef (5).jpg,Lomo del Chef (3).jpg,Muy buena
Lomito Explosivo,"Carne de lomo con salsa criolla casera, queso Provolone, jamón lechuga, tomate, huevo frito, cebolla caramelizada y aderezo de la casa.", $  21.000 ,Lomito Explosivo (7).jpg,,Muy buena
Lomito Crispy con Salsa de Lima,"Medallón de pollo crispy con especias, salsa de lima, lechuga, pepino, cebolla caramelizada y doble queso fundido.", $  18.000 ,Lomo Crispy (4).jpg,,Muy buena
Lomito Veggie Tofu,"Tofu marinados, pimientos asados, rúcula, tomate, hummus de zanahoria, huevo a la plancha y aderezo ahumado.", $  14.500 ,,,No hay foto
Lomito Veggie de Berenjena Apanada,"Berenjena crujiente, tomate, lechuga, queso fundido y lactonesa de la casa.", $  14.500 ,,,¿Es este?
Tostado de jamon y queso,"Clásico y delicioso: sándwich de jamón cocido artesanal y queso fundido en pan de campo dorado, acompañado de crujientes
papas fritas.", $  13.500 ,Tostado de jamon y queso.pn,,Muy buena
Tostado de ternera queso huevo,"Finas láminas de ternera, aderezo de la casa,queso fundido y huevo a la plancha, entre pan dorado crocante.", $  14.000 ,Copia de _DSC9355.jpg,,Muy buena
"Tostado de Roquefort, jamon crudo y queso feta","Combinación intensa deroquefort, jamón crudo en fetas finas, aderezo de la casa y queso, en pan árabe
tostado. Opcional: sin roquefort.", $  14.000 ,Copia de _DSC9325-2.jpg,,Muy buena
Tostado napolitano,"Pan de campo dorado con aderezo de la casa, jamón artesanal y queso fundido, finalizado con una capa de muzzarella gratinada, rodaja de tomate fresca y un toque de orégano. Sabor clásico con un toque gourmet.", $  13.500 ,Tostado Napolitano.jpg,,Muy buena
Postres,,,,,
Bondiola Braseada con Cremoso de Zapallo,"Tierna bondiola de cerdo braseada lentamente con salsa barbacoa. Reposada sobre un cremoso de zapallo cabutia, con toques de queso roquefort y nueces tostadas, que aportan contraste de sabor y textura.", $  20.000 ,,,
Bife de chorizo Hub,"Jugoso bife de chorizo de 350 g, rebozado y dorado, coronado con huevo frito a la sartén. Acompañado de un suave puré cremoso de papa y verdeo, pesto de rúcula casero y ensalada fresca de hojas verdes y tomates Cherry.", $  25.000 ,,,
Salmón con Manteca de Hierbas & Vegetales Asados,"Lomo de salmón grillado de 300 gr, terminado con manteca compuesta de hierbas frescas y pimienta rosa. Servido con papa rústica prensada al horno y mix de vegetales de estación asados.", $  30.000 ,,,
Chocotorta,El postre más famoso de argentina., $  7.000 ,Chochotorta clásica.png,,Muy buena
Tiramisu,"Masa de panqueque, rellena con dulce de leche Servido tibio, con hilos de chocolate semiamargo. Finalizado
con crema chantilly.", $  7.000 ,Tiramisú.png,,Muy buena
Flan con dulce de leche,Un clásico que nunca falla., $  7.000 ,,,No hay foto
Botellas y combos,,,,,
Fernet Branca + 2 Coca,El clásico cordobés: fernecito Branca con Coca-Cola., $  55.000 ,,,No hay foto
Combo Vodka Sernova botella + 4 Speed,"Ideal para compartir,
combina un vodka suave con la energía de Speed.", $  32.000 ,Combo sernova.png,,Muy buena
Combo Vodka Sernova saborizado botella + 4 Speed,"Combinación ideal con on el saborizado extra. Variedades de manzana verde,
tropical, wild berrys y caribean blend.", $  35.000 ,DSC_0550.jpg,,Muy buena
Combo Vodka Absolut botella + 4 Speed,"Un combo premium para quienes
buscan calidad. Variedades de Raspberry, Mango y Vainilla.", $  70.000 ,Combo absolut.png,,Muy buena
Vermú Carpano Rosso + soda,"La botella de Carpano lista para mezclar con
soda.", $  23.500 ,,,No hay foto
Spirito Blu Gin+ 2Tónicas,, $  29.000 ,,,No hay foto
Botella Gin Bombay Shapphire +Adicional,, $  65.000 ,,,No hay foto
Combo Gancia botella + 2 Sprites,, $  35.000 ,,,No hay foto
Champán Mumm+2 Speed,, $  25.000 ,DSC_0728.jpg,,Muy buena
Champán Salentein+ 4 Speed,, $  30.000 ,,,No hay foto
Champán Baron B,, $  50.000 ,,,No hay foto
Botella Beefeater+Adicional,, $  57.000 ,,,No hay foto
Jagger + 4 Speed(o shcweppes de pomelo),, $  70.000 ,DSC_0789.jpg,,
Botella Patagonia 730ml,, $  11.500 ,,,No hay foto
Botella Stella Artois 1 litro,, $  11.500 ,,,No hay foto
Norton cosecha tardía,, $  12.000 ,,,No hay foto
Tragos y bebidas,,,,,
Branca y Cola,, $  10.000 ,IMG_6015.HEIC,,Buena
Gancia y Sprite,, $  7.000 ,,,No hay foto
Branca y Soda,, $  6.000 ,,,No hay foto
Jagger perfecto,, $  13.000 ,,,No hay foto
Pem tonic,, $  5.000 ,,,No hay foto
Carpano Orange,, $  7.500 ,,,No hay foto
Bianco Tonic,, $  6.000 ,,,No hay foto
Sernova Speed,, $  8.500 ,,,No hay foto
Absolut Speed,, $  12.000 ,,,No hay foto
Blu Gin Tonic,, $  8.500 ,,,No hay foto
Jaggwhisky,, $  15.000 ,,,No hay foto
Red Label,, $  9.000 ,,,No hay foto
Black Label,, $  11.000 ,,,No hay foto
Gin Bombay Sapphire,, $  11.000 ,,,No hay foto
Beefeater gin,, $  10.000 ,,,No hay foto
Lata Stella Artois,, $  6.000 ,,,No hay foto
Corona 330ml,, $  6.500 ,,,No hay foto
Corona 710ml,, $  11.500 ,,,No hay foto
Jarra de limonada/Pomelada,, $  12.000 ,,,No hay foto
Limonada/Pomelada chica,, $  7.000 ,DSC_0338.jpg ????,,Mala
"Agua, Soda, Coca, Sprite, Coca Zero o Speed",, $  3.900 ,,,No hay foto
"Sprite o Coca-Cola 1,25 Lts",, $  11.000 ,,,No hay foto
Schweppes,, $  9.000 ,,,No hay foto
Tragos HUB!,,,,,
Por*Hub,, $  8.000 ,IMG_4693.HEIC,IMG_4687.HEIC,Muy buena
Mojito,, $  7.500 ,,,No hay foto
Mojito Malibu,, $  7.500 ,,,No hay foto
Negroni,, $  7.500 ,,,No hay foto
Cynar Julep,, $  7.000 ,,,No hay foto
Aperol Spritz,, $  7.500 ,IMG_6071.HEIC,,Buena
Baileys,, $  7.500 ,,,
Baileys coffee,, $  9.000 ,IMG_6117.HEIC,,Buena
Jack Daniel’s Honey,, $  10.000 ,,,No hay foto
Jack Daniel’s Tennessee Apple,, $  10.000 ,,,No hay foto
Campari,, $  7.500 ,IMG_6091.HEIC,,Buena
Cuba Libre,, $  7.500 ,IMG_5918.HEIC,,Zafable
Daiquiri con alcohol,, $  7.500 ,IMG_6130.HEIC,IMG_6124.HEIC,Muy buena
Daiquiri sin alcohol,, $  5.500 ,"IMG_6148.HEIC usamos la misma que las fotos de ""daiki con alcohol""?",,
Por*Hub Frutos Rojos,, $  8.000 ,IMG_5793.HEIC,IMG_5792.HEIC,Muy buena
Perla Verde,, $  8.000 ,IMG_5712.HEIC,,Buena
Colorin Colorado,, $  8.000 ,IMG_5747.HEIC,,Buena
Enzoni,, $  7.000 ,,,No hay foto
Tom Collins,, $  7.000 ,,,No hay foto
Margarita,, $  7.000 ,IMG_5891.HEIC,,Buena
Caipiroska,, $  8.000 ,,,No hay foto
Caipirísima,, $  8.000 ,,,No hay foto
Caipi Malibu,, $  8.000 ,IMG_5840.HEIC,,Buena
Candy Sour,, $  9.000 ,IMG_5865.HEIC SIN CARAMELOS,,No hay foto
Vinos Blancos,,,,,
Lúi Umile - Sauvignon Blanc,"Refrescante y aromático, con toques cítricos y herbales. Perfecto para pescados y ensaladas.", $  24.000 ,,,No hay foto
Ovum Blanco - Sauvignon Blanc/Semillón/Malvasía," Blend fresco y aromático, con notas frutales y toques minerales.", $  19.000 ,,,No hay foto
Animal Blend de Blancas,"Blanco orgánico vibrante y refrescante, con notas cítricas y tropicales.", $  19.000 ,,,No hay foto
Vinos Rosados,,,,,
Indama rosado de isabella,"Frutal e intenso, con notas a frambuesas y frescura vibrante", $  17.000 ,,,No hay foto
Vinos Espumantes,,,,,
Domaine Bousquet Brut Rosé,"Espumante rosado orgánico, seco y cremoso, con aromas de frutilla y cereza.", $  19.100 ,,,No hay foto
Vinos tintos,,,,,
Domaine Busquet Reserva - Pinot Noir: ,"Suave y elegante, con notas de frutos rojos y final aterciopelado.", $  20.000 ,,,
Lúi Espontáneo - Cabernet Franc: ,"Intenso y expresivo, con aromas especiados y sabor profundo.", $  32.000 ,,,No hay foto
Lúi Umile - Malbec: ,"Clásico argentino, robusto y frutal, ideal para carnes rojas.", $  20.000 ,,,No hay foto
Ovum - Cabernet Franc: ,"Equilibrado, con notas de pimienta y frutos maduros.", $  18.000 ,,,No hay foto
Piedra Negra Alta Colección - Malbec :," Potente y estructurado, con final largo y persistente.", $  19.000 ,,,No hay foto
Piedra Negra Alta Colección - Cabernet Sauvignon: ,"Complejo y elegante, con notas de madera y especias.", $  20.000 ,,,No hay foto
Domaine Bousquet Malbec: ,"Malbec orgánico del Valle de Uco, intenso y equilibrado, con notas de mora y chocolate.", $  20.000 ,,,No hay foto
Domaine Bousquet Cabernet Franc: ,"Cabernet Franc orgánico, fresco y mineral, con notas de pimiento y frutos negros.", $  20.000 ,,,
Asa Nisi Masa - Malbec: ,"Expresivo y moderno, con notas de frutos negros maduros, toques florales y un leve perfil especiado. De cuerpo medio, taninos suaves y final fresco.", $  22.000 ,,,
Antucura - Malbec: ,"Elegante y equilibrado, con aromas de ciruela, cereza y sutiles notas de vainilla y cacao. Buena estructura, taninos redondos y final persistente.", $  16.000 ,,,
Brunch y Desayunos,,,,,
Clásico en Córdoba,, $  3.500 ,DSC_0198.jpg,,¿Es este?
Clásico en Córdoba Full,, $  6.500 ,,,¿Es este?
¡Proteico HUB!,, $  12.500 ,Proteíco Hub.jpg,,Muy buena
Delicias parisinas,, $  12.000 ,Delicias Parisinas.jpg,,Muy buena
Brisa mediterránea,, $  12.000 ,Brisa Mediterránea.jpg,,Muy buena
Londres Real,, $  12.000 ,Londres Real.jpg,,Muy buena
Mexicana,, $  12.500 ,La Mexicana.jpg,,Muy buena
Tostado de jamon y queso,, $  12.000 ,DSC_0214.jpg,,Muy buena
Tostado especial napolitano,, $  12.000 ,Tostado Napolitano.jpg,,Muy buena
Tostado de ternera queso huevo,, $  13.000 ,Copia de _DSC9338.jpg,,Muy buena
"Tostado de Roquefort, jamon crudo y queso feta",, $  13.500 ,Copia de _DSC9315.jpg,,Muy buena
Croissant Relleno de rucula y jamon crudo,, $  8.500 ,,,No hay foto
Pasteleria Artesanal,,,,,
Medialunas:,, $  1.000 ,DSC_0208.jpg acompañada de otras cosas,,Zafable
Criollo:,, $  1.000 ,DSC_0208.jpg acompañada de otras cosas,,Zafable
Mafalda:,, $  3.000 ,,,No hay foto
Chocotorta,, $  5.000 ,DSC_0625.jpg,,Muy buena
Chocotorta MAS INFUSION,, $  7.000 ,DSC_0618.jpg foto sin infusion solo choco,,Zafable
Marquise,, $  8.000 ,,,No hay foto
Marquise MAS INFUSION,, $  10.000 ,,,No hay foto
Carrot cake,, $  8.000 ,IMG_4529.HEIC,,Buena
Carrot cake MAS INFUSION,, $  10.000 ,,,No hay foto
Red velvet,, $  8.000 ,IMG_4538.HEIC,,Buena
Red velvet MAS INFUSION,, $  10.000 ,,,No hay foto
Croissant de nutella y frutillas,, $  10.000 ,IMG_7553.PNG,,Buena
Croissant de nutella y frutillas MAS INFUSION,, $  12.000 ,,,No hay foto
Croissant de Lemon pie,, $  9.000 ,Croissant Lemon.jpg,,Muy buena
Croissant de Lemon pie MAS INFUSION,, $  10.000 ,Croissant Lemon.jpg,,Muy buena
Croissant de Tiramisú,, $  9.000 ,Croissant Tiramisú.jpg,,Muy buena
Croissant de Tiramisú MAS INFUSION,, $  10.000 ,Croissant Tiramisú.jpg,,Muy buena
Croissant de mouse de chocolate,, $  9.000 ,Croissant Oreo.jpg,,Muy buena
Croissant de mouse de chocolate MAS INFUSION,, $  10.000 ,Croissant Oreo.jpg,,Muy buena
Pancakes con miel y frutos rojos,, $  7.000 ,panqueque de miel y frutos rojos.jpg,,Muy buena
Pancakes con miel y frutos rojos MAS INFUSION,, $  9.000 ,,,No hay foto
"Pancakes de muss de chocolate, nutella y oreo",, $  7.000 ,panqueque oreo.jpg,,Muy buena
"Pancakes de muss de chocolate, nutella y oreo MAS INFUSION",, $  9.000 ,,,No hay foto
Bebidas Calientes,,,,,
Café con Leche / Latte,, $  3.500 ,DSC_0010.jpg,,Muy buena
Lágrima,, $  3.500 ,,,Muy buena
Flat White,, $  3.800 ,DSC_0041.jpg ,,Muy buena
Lungo/americano,, $  3.000 ,,,No hay foto
Espresso,, $  2.700 ,,,No hay foto
Ristretto,, $  2.400 ,,,No hay foto
Jarrito,, $  2.700 ,,,No hay foto
Machiatto,, $  3.000 ,,,No hay foto
Capuccino,, $  4.500 ,,,No hay foto
Submarino,, $  4.500 ,DSC_0310.jpg,,Muy buena
Caramel latte,, $  3.900 ,DSC_0249.jpg,,Muy buena
Caramel Capucchino,, $  3.900 ,,,No hay foto
Vainilla Latte,, $  3.900 ,DSC_0038.jpg,,Muy buena
Avellana Latte,, $  3.900 ,DSC_0083.jpg,,Muy buena
Pistacho Latte,, $  3.900 ,,,No hay foto
Moca,, $  3.900 ,,,No hay foto
"Te, bebidas frias y bowls",,,,,
Tes,, $  2.000 ,,,No hay foto
Licuado de frutas clasico,, $  5.000 ,DSC_0508.jpg,,Muy buena
Batido Energético de Berry y Plátano:,, $  6.000 ,DSC_0740.jpg,,Muy buena
Licuado Refrescante:,, $  5.000 ,DSC_0767.jpg es o no es,,Muy buena
Jarra de limonada/pomelada:,, $  10.000 ,,,No hay foto
Limonada/pomelada chica:,, $  6.000 ,,,No hay foto
StarHub:,, $  6.000 ,IMG_4394.HEIC,,Mala
Caramel Macchiato:,, $  6.000 ,IMG_6232.jpg,,Muy buena
Frappé de Dulce de Leche:,, $  6.000 ,,,No hay foto
Cookie & Cream Frappé:,, $  6.000 ,,,No hay foto
Sin TACC,,,,,
Alfajorcitos de maicena,, $  9.000 ,DSC_0636.jpg,,Muy buena
Alfajorcitos de maicena MAS INFUSION,, $  11.000 ,,,No hay foto
Budin de chocolate,, $  7.000 ,,,No hay foto
Budin de chocolate MAS INFUSION,, $  9.000 ,,,No hay foto
Budin de arándanos,, $  7.500 ,,,No hay foto
Budin de arándanos MAS INFUSION,, $  9.500 ,,,No hay foto
Budin de limón,, $  6.500 ,,,No hay foto
Budin de limón MAS INFUSION,, $  8.500 ,,,No hay foto
Cookie red velvet rellena de frutilla,, $  7.000 ,,,No hay foto
Cookie red velvet rellena de frutilla MAS INFUSION,, $  9.000 ,,,No hay foto
Cookie de vainilla con chips de chocolate,, $  7.000 ,DSC_0690.jpg,,Muy buena
Cookie de vainilla con chips de chocolate MAS INFUSION,, $  9.000 ,,,No hay foto
Proteico HUB,, $  12.500 ,,,No hay foto
Pizza individual,, $  10.000 ,,,No hay foto
